name,species,pop,year,time,id
EA_2009_T2,eurytemora,canal,EA_2009,0,2009_1
EA_2009_T4,eurytemora,canal,EA_2009,1,2009_2
EA_2011_T1,eurytemora,canal,EA_2011,0,2011_1
EA_2011_T2,eurytemora,canal,EA_2011,1,2011_2
EA_2015_T1,eurytemora,canal,EA_2015,0,2015_1
EA_2015_T4,eurytemora,canal,EA_2015,1,2015_2
EA_2022_T1,eurytemora,canal,EA_2022,0,2022_1
EA_2022_T4,eurytemora,canal,EA_2022,1,2022_2
